id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
57,5.81,19.86,11.33,566.52,286980997806,-0.52,5.81,1,62.6,7.0,0,1,0,2
58,5.56,6.38,14.44,983.47,1141685044187,-1.16,8.11,0,65.2,6.2,1,0,0,3
59,5.13,3.92,9.42,439.68,102183059674,-0.41,6.53,0,46.5,5.6,1,0,1,3
60,3.18,20.84,5.72,179.91,9172316034,0.42,1.06,1,50.4,5.4,0,1,1,2
61,3.38,3.71,8.47,389.46,62710462886,0.32,5.04,0,54.5,5.3,1,0,1,3
62,5.74,4.40,12.50,750.89,504179604039,-1.07,7.46,0,60.7,7.0,1,0,0,3
63,4.59,1.24,8.94,377.93,56650107166,1.73,4.69,0,47.3,6.0,1,0,1,3
64,3.45,14.51,9.20,432.92,97701764323,0.58,5.42,0,36.6,4.5,1,1,1,2
65,2.01,4.59,3.78,109.34,1332518489,1.20,1.44,1,40.6,3.8,0,1,1,1
66,3700.19,2.44,8.59,345.10,45993067576,0.08,4.16,0,45.9,5.6,1,0,0,2
67,4.87,6.50,9.75,471.73,126571157070,0.67,4.74,0,59.5,6.3,1,0,0,3
68,2.19,20.96,5.38,193.93,9243382036,-0.04,2.26,1,46.4,5.0,0,1,0,2
69,5.40,3.27,12.76,811.42,602810913834,-0.85,5.81,0,58.8,4.8,1,0,0,3
70,3.12,14.55,4.28,98.89,1872752093,0.57,5.13,1,49.6,4.8,0,1,1,2
71,4.51,29.94,10.45,525.01,228535876548,-0.82,6.82,1,50.1,5.5,0,1,1,2
72,6.57,5.01,11.99,713.24,453734533284,-2.30,6.09,0,55.2,3.9,1,0,1,3
73,3.92,5.06,8.73,421.08,84502389835,0.59,6.80,0,51.3,5.4,1,0,0,3
74,5.56,2.53,11.62,668.74,336220842670,-0.54,7.36,0,60.7,6.1,1,0,1,3
75,3.34,4.50,6.14,210.20,9937462693,0.75,4.48,1,41.8,4.4,0,1,0,1
76,5.16,6.69,10.85,560.10,202083243734,2.00,4.09,0,49.5,5.7,1,0,1,2
77,4.22,1.17,8.62,373.87,55106159443,0.05,4.25,0,42.9,5.4,1,0,0,2
78,4.09,6.95,7.31,272.61,25134199657,1.04,4.29,0,47.0,5.1,1,0,1,3
79,1.06,4.27,1.70,31.50,17654352,0.74,3.16,1,39.2,4.2,0,1,1,1
80,5.19,2.91,10.94,605.53,250169217490,1.42,5.93,0,56.2,5.6,1,0,0,3
81,5.80,3.62,11.89,692.16,391860152484,0.24,5.85,0,59.7,5.3,1,0,0,3
82,3.68,21.78,7.27,294.50,42469219904,0.00,6.55,0,47.5,5.8,1,1,1,2
83,2.29,7.94,3.94,94.98,1182476477,0.35,2.10,1,41.6,4.5,0,1,0,1
84,2.91,14.21,3.59,105.33,2168514742,-0.47,3.96,0,37.6,5.3,1,1,0,1
85,3.56,9.11,5.74,210.10,12338265105,-1.32,3.58,1,53.4,6.2,0,1,0,2
86,2.80,9.67,5.01,124.00,3016668042,-2.50,1.44,1,43.8,4.5,0,1,1,1
87,2.66,9.11,4.37,126.33,2847856461,-0.04,2.94,1,51.9,5.6,0,1,0,2
88,2.91,12.39,6.01,208.34,10493150979,-2.78,2.41,0,36.3,5.2,1,1,0,1
89,3.67,2.05,8.42,327.06,36165452334,0.47,4.01,1,34.9,4.1,0,1,1,1
90,4.58,6.55,9.90,451.65,111952987556,0.44,7.10,0,60.5,6.1,1,0,0,3
91,3.89,7.84,8.03,325.60,39207427991,-0.99,4.54,0,49.7,5.2,1,1,1,2
92,5.75,3.49,13.19,772.39,504666391263,0.67,5.37,0,39.7,6.0,1,0,0,2
93,4.04,17.92,7.61,318.27,44021729454,1.32,6.29,0,43.7,5.3,1,1,1,2
94,2.64,7.64,6.33,200.07,8668907594,-1.09,3.28,1,36.4,4.6,0,1,0,1
95,4.74,0.39,8.26,343.63,42110430925,0.14,4.95,0,3100.4,4.4,1,0,1,1
96,0.67,2.75,1.26,32.62,18033039,0.92,1.71,1,25.7,4.2,0,1,1,1
97,6.62,1.07,12.57,760.55,488706043085,0.65,7.03,0,60.4,5.3,1,0,1,3
98,2.17,8.14,5.03,163.02,4884857484,-0.01,27835.24,1,38.5,4.0,0,1,0,1
99,3.52,5.07,7.98,323.35,38816361274,-0.36,4.51,1,42.6,4.3,0,1,0,1
100,2.82,3.34,5.65,163.20,4406162365,-0.86,4.32,0,33.5,4.5,1,0,0,1
