id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
31,3.19,10.66,7.93,289.86,31895586299,-0.02,6.10,1,43.8,3.3,0,1,0,1
32,3.56,14.50,8.31,336.55,50932915445,0.63,3.65,0,53.5,5.3,1,1,0,3
33,5.93,4.20,10.56,535.68,198440331848,1.00,7.24,0,60.1,6.3,1,0,0,3
34,4.03,14.29,7.73,334.81,49932362025,0.37,3.21,1,47.9,4.1,0,1,0,1
35,2.60,1.26,5.09,172.45,5150425644,-1.77,2.64,1,36.0,4.4,0,1,0,1
36,2.20,11.22,4.46,133.34,3166752856,0.30,1.40,1,39.3,4.1,0,1,1,1
37,3.99,16.58,7.71,295.67,40844244639,0.15,3.52,1,44.4,5.2,0,1,1,2
38,4.00,1.04,10.70,547.39,173545863265,2.05,2.92,0,46.2,5.3,1,0,1,3
39,0.26,4.64,2.69,66.60,183687277,-0.48,1.42,1,29.8,4.7,0,1,1,1
40,2.42,4.68,45778.32,152.87,3712894865,-0.61,5.93,1,28.1,4.1,0,1,1,1
41,2.81,12.03,5.35,161.05,5133099725,0.21,3.97,1,40.3,4.4,0,1,1,1
42,6.42,1.33,13.62,872.38,747107453836,-0.58,7.31,0,58.6,7.0,1,0,1,3
43,5.67,5.82,11.11,618.31,284450274131,0.73,7.12,0,53.2,6.2,1,0,0,3
44,5.61,2.11,11.94,673.41,341585793529,-2.91,7.99,0,48.6,4.9,1,0,0,2
45,2.96,7.19,6.09,181.68,6677585016,1.12,4.03,1,39.0,4.1,0,1,1,1
46,5.53,6.75,11.35,603.21,269529350480,-0.28,5.64,0,54.4,6.1,1,0,0,3
47,3.30,3.95,8.56,370.79,53740155649,1.10,3.71,0,55.0,5.8,1,0,1,3
48,3.72,-0.61,8.15,356.21,62256697544,1.39,4.01,1,43.5,4.8,0,1,1,2
49,6.67,0.80,13.61,809.44,568542760965,-0.75,7.12,0,57.7,5.1,1,0,1,3
50,5.42,5.11,12.17,749.47,507067725093,1.58,9.47,0,53.0,4.5,1,0,1,3
51,4.37,1.14,7.95,312.83,30460127866,0.88,5.31,0,41.2,5.5,1,0,0,2
52,2.68,23.43,3.95,121.25,7718,0.64,2.53,1,53.7,5.4,0,1,1,2
53,5.21,17.46,11.41,610.12,319421458223,0.44,4.33,1,50.2,5.6,0,1,0,2
54,3.78,5.78,8.43,347.16,43927689398,-0.39,4.01,1,32.7,4.1,0,1,1,1
55,4.22,0.65,9.71,448.18,88993920402,1.82,2.07,0,40.0,4.6,1,0,0,1
56,3.83,6.76,6.49,221.90,13157280858,1.39,5.16,0,47.7,4.5,1,1,1,2
57,4.90,20.28,11.31,567.95,286980930728,-0.52,5.77,1,62.8,6.7,0,1,0,2
58,5.99,6.47,15.09,992.07,1141684974232,-1.20,8.13,0,65.1,6.2,1,0,0,3
59,5.22,3.53,9.29,438.25,102182979944,-0.39,6.54,0,46.3,6.6,1,0,1,3
60,3.25,20.75,6.03,183.73,9172278656,0.37,1.07,1,50.3,5.4,0,1,1,2
61,3.39,3.94,8.72,384.17,62710412261,0.35,5.07,0,54.3,5.4,1,0,1,3
62,5.30,4.09,13.02,759.78,504179538895,-1.07,7.41,0,60.1,6.2,1,0,0,3
63,4.89,1.82,9.03,369.78,56650137499,1.78,4.69,0,48.0,6.3,1,0,1,3
64,3.86,15.17,9.59,426.89,97701748832,0.65,5.33,0,36.2,5.2,1,1,1,2
65,1.69,4.54,3.70,114.83,1332494668,1.22,1.50,1,40.2,4.2,0,1,1,1
66,3700.29,2.83,7.97,351.74,45993028545,0.04,4.19,0,45.9,5.5,1,0,0,2
67,4.72,6.72,10.26,474.08,126571106786,0.71,4.76,0,59.5,6.2,1,0,0,3
68,1.71,20.64,6.25,193.07,9243343300,0.00,2.23,1,46.2,4.7,0,1,0,2
69,6.18,3.23,13.23,804.78,602810911545,-0.82,5.84,0,58.6,5.1,1,0,0,3
70,3.16,13.79,3.83,101.18,1872720820,0.50,5.13,1,49.1,5.7,0,1,1,2
71,3.88,29.47,10.70,530.85,228535960246,-0.83,6.75,1,50.6,6.4,0,1,1,2
72,6.22,5.05,12.05,715.16,453734487152,-2.32,6.05,0,55.2,4.6,1,0,1,3
73,3.91,4.96,8.79,422.14,84502339164,0.63,6.76,0,51.8,5.5,1,0,0,3
74,5.82,2.09,12.17,662.01,336220865384,-0.57,7.35,0,60.5,5.8,1,0,1,3
75,3.91,4.06,5.65,211.69,9937435607,0.78,4.47,1,41.8,4.8,0,1,0,1
76,4.57,6.60,10.98,564.78,202083228927,1.99,4.07,0,49.1,5.5,1,0,1,2
77,3.92,0.86,8.31,375.59,55106142197,0.08,4.26,0,42.3,5.3,1,0,0,2
78,4.15,7.15,7.41,278.96,25134164052,1.05,4.31,0,47.3,5.1,1,0,1,3
79,1.00,3.87,1.83,33.73,17694515,0.74,3.15,1,39.6,3.6,0,1,1,1
80,5.41,3.37,11.47,610.68,250169280883,1.38,5.96,0,56.4,5.7,1,0,0,3
81,5.78,3.83,12.00,691.90,391860190650,0.27,5.89,0,59.6,4.9,1,0,0,3
82,4.12,21.60,7.92,294.62,42469243880,-0.08,6.56,0,47.8,6.1,1,1,1,2
83,2.34,8.48,4.20,96.82,1182436149,0.33,2.06,1,41.3,4.1,0,1,0,1
84,2.39,13.90,4.55,112.26,2168527594,-0.44,3.96,0,38.0,5.2,1,1,0,1
85,3.50,9.44,6.38,210.42,12338249067,-1.24,3.57,1,54.0,6.4,0,1,0,2
86,2.85,10.59,4.97,131.90,3016672917,-2.52,1.43,1,43.3,4.3,0,1,1,1
87,3.27,8.85,4.74,129.47,2847847036,-0.02,2.95,1,51.9,6.3,0,1,0,2
88,2.36,13.24,5.82,204.00,10493087294,-2.80,2.38,0,36.0,5.2,1,1,0,1
89,3.59,1.94,7.70,327.34,36165392862,0.51,4.00,1,34.1,4.5,0,1,1,1
90,4.63,6.96,9.59,447.77,111952985907,0.39,7.12,0,60.5,6.3,1,0,0,3
91,3.58,8.46,7.91,323.83,39207487332,-0.95,4.48,0,49.5,5.3,1,1,1,2
92,5.04,3.13,13.24,767.62,504666334785,0.61,5.36,0,39.6,5.9,1,0,0,2
93,3.43,17.67,7.41,317.43,44021764350,1.31,6.33,0,43.1,5.4,1,1,1,2
94,2.65,7.48,6.39,206.22,8668892761,-1.08,3.26,1,37.0,3.7,0,1,0,1
95,4.78,0.87,8.21,339.95,42110424795,0.16,4.89,0,3100.1,4.4,1,0,1,1
96,0.76,3.16,1.56,31.70,18001423,0.94,1.70,1,25.0,4.0,0,1,1,1
97,6.70,0.34,12.21,762.29,488705981676,0.72,6.97,0,61.0,5.4,1,0,1,3
98,2.46,8.69,5.25,159.69,4884812735,0.04,27835.30,1,38.3,4.6,0,1,0,1
99,3.37,5.43,7.80,329.28,38816366209,-0.32,4.56,1,42.9,4.8,0,1,0,1
100,3.32,3.56,5.49,164.25,4406120847,-0.82,4.31,0,33.5,4.8,1,0,0,1
